Date,Open,High,Low,Close,Volume,Adj Close
2010-12-17,321.63,321.79,320.23,320.61,13818900,320.61
2010-12-16,321.09,322.61,320.10,321.25,11483500,321.25
2010-12-15,320.00,323.00,319.19,320.36,14836000,320.36
2010-12-14,321.73,322.54,319.00,320.29,12536000,320.29
2010-12-13,324.37,325.06,321.00,321.67,15674000,321.67
2010-12-10,319.65,321.05,318.60,320.56,9375400,320.56
